Time,population,treatment,Clutch,,,
6,0,6ppt,5,,,
7,0,6ppt,5,,,
1,20,6ppt,5,,,
2,20,6ppt,5,,,
3,20,6ppt,5,,,
4,20,6ppt,5,,,
5,0,6ppt,5,,,
6,0,6ppt,5,,,
7,0,6ppt,5,,,
1,20,6ppt,5,,,
2,19,6ppt,5,,,
3,19,6ppt,5,,,
4,19,6ppt,5,,,
5,0,6ppt,5,,,
6,0,6ppt,5,,,
7,0,6ppt,5,,,
1,20,6ppt,5,,,
2,20,6ppt,5,,,
3,20,6ppt,5,,,
4,20,6ppt,5,,,
5,0,6ppt,5,,,
6,0,6ppt,5,,,
7,0,6ppt,5,,,
1,20,6ppt,5,,,
2,20,6ppt,5,,,
3,20,6ppt,5,,,
4,20,6ppt,5,,,
5,0,6ppt,5,,,
6,0,6ppt,5,,,
7,0,6ppt,5,,,
1,20,6ppt,5,,,
2,20,6ppt,5,,,
3,20,6ppt,5,,,
4,18,6ppt,5,,,
5,17,6ppt,5,,,
6,17,6ppt,5,,,
7,0,6ppt,5,,,
1,20,6ppt,5,,,
2,20,6ppt,5,,,
3,19,6ppt,5,,,
4,19,6ppt,5,,,
5,14,6ppt,5,,,
6,12,6ppt,5,,,
7,0,6ppt,5,,,
1,20,6ppt,5,,,
2,19,6ppt,5,,,
3,19,6ppt,5,,,
4,19,6ppt,5,,,
5,11,6ppt,5,,,
6,7,6ppt,5,,,
7,0,6ppt,5,,,
1,20,control,6,,,
2,20,control,6,,,
3,20,control,6,,,
4,20,control,6,,,
5,20,control,6,,,
6,20,control,6,,,
7,20,control,6,,,
1,20,control,6,,,
2,20,control,6,,,
3,20,control,6,,,
4,20,control,6,,,
5,20,control,6,,,
6,20,control,6,,,
7,20,control,6,,,
1,20,control,6,,,
2,19,control,6,,,
3,19,control,6,,,
4,19,control,6,,,
5,19,control,6,,,
6,19,control,6,,,
7,19,control,6,,,
1,20,control,6,,,
2,20,control,6,,,
3,20,control,6,,,
4,20,control,6,,,
5,20,control,6,,,
6,20,control,6,,,
7,20,control,6,,,
1,20,control,6,,,
2,19,control,6,,,
3,18,control,6,,,
4,18,control,6,,,
5,18,control,6,,,
6,18,control,6,,,
7,18,control,6,,,
1,20,control,6,,,
2,20,control,6,,,
3,19,control,6,,,
4,19,control,6,,,
5,19,control,6,,,
6,19,control,6,,,
7,19,control,6,,,
1,20,control,6,,,
2,20,control,6,,,
3,20,control,6,,,
4,20,control,6,,,
5,20,control,6,,,
6,20,control,6,,,
7,20,control,6,,,
1,20,control,6,,,
2,20,control,6,,,
3,20,control,6,,,
4,20,control,6,,,
5,20,control,6,,,
6,20,control,6,,,
7,20,control,6,,,
1,20,control,6,,,
2,20,control,6,,,
3,20,control,6,,,
4,20,control,6,,,
5,20,control,6,,,
6,20,control,6,,,
7,20,control,6,,,
1,20,control,6,,,
2,20,control,6,,,
3,20,control,6,,,
4,20,control,6,,,
5,20,control,6,,,
6,20,control,6,,,
7,20,control,6,,,
1,20,4ppt,6,,,
2,20,4ppt,6,,,
3,20,4ppt,6,,,
4,20,4ppt,6,,,
5,20,4ppt,6,,,
6,20,4ppt,6,,,
7,20,4ppt,6,,,
1,20,4ppt,6,,,
2,20,4ppt,6,,,
3,20,4ppt,6,,,
4,20,4ppt,6,,,
5,20,4ppt,6,,,
6,20,4ppt,6,,,
7,20,4ppt,6,,,
1,20,4ppt,6,,,
2,19,4ppt,6,,,
3,19,4ppt,6,,,
4,19,4ppt,6,,,
5,19,4ppt,6,,,
6,19,4ppt,6,,,
7,19,4ppt,6,,,
1,20,4ppt,6,,,
2,20,4ppt,6,,,
3,20,4ppt,6,,,
4,20,4ppt,6,,,
5,20,4ppt,6,,,
6,20,4ppt,6,,,
7,20,4ppt,6,,,
1,20,4ppt,6,,,
2,20,4ppt,6,,,
3,20,4ppt,6,,,
4,20,4ppt,6,,,
5,20,4ppt,6,,,
6,20,4ppt,6,,,
7,20,4ppt,6,,,
1,20,4ppt,6,,,
2,20,4ppt,6,,,
3,20,4ppt,6,,,
4,20,4ppt,6,,,
5,20,4ppt,6,,,
6,20,4ppt,6,,,
7,20,4ppt,6,,,
1,20,4ppt,6,,,
2,20,4ppt,6,,,
3,20,4ppt,6,,,
4,20,4ppt,6,,,
5,20,4ppt,6,,,
6,20,4ppt,6,,,
7,20,4ppt,6,,,
1,20,4ppt,6,,,
2,20,4ppt,6,,,
3,20,4ppt,6,,,
4,20,4ppt,6,,,
5,20,4ppt,6,,,
6,20,4ppt,6,,,
7,20,4ppt,6,,,
1,20,4ppt,6,,,
2,20,4ppt,6,,,
3,20,4ppt,6,,,
4,20,4ppt,6,,,
5,20,4ppt,6,,,
6,20,4ppt,6,,,
7,19,4ppt,6,,,
1,20,4ppt,6,,,
2,20,4ppt,6,,,
3,20,4ppt,6,,,
4,20,4ppt,6,,,
5,20,4ppt,6,,,
6,20,4ppt,6,,,
7,20,4ppt,6,,,
1,20,6ppt,6,,,
2,20,6ppt,6,,,
3,19,6ppt,6,,,
4,19,6ppt,6,,,
5,19,6ppt,6,,,
6,0,6ppt,6,,,
7,0,6ppt,6,,,
1,20,6ppt,6,,,
2,20,6ppt,6,,,
3,19,6ppt,6,,,
4,19,6ppt,6,,,
5,0,6ppt,6,,,
6,0,6ppt,6,,,
7,0,6ppt,6,,,
1,20,6ppt,6,,,
2,19,6ppt,6,,,
3,19,6ppt,6,,,
4,19,6ppt,6,,,
5,0,6ppt,6,,,
6,0,6ppt,6,,,
7,0,6ppt,6,,,
1,20,6ppt,6,,,
2,20,6ppt,6,,,
3,20,6ppt,6,,,
4,19,6ppt,6,,,
5,7,6ppt,6,,,
6,0,6ppt,6,,,
7,0,6ppt,6,,,
1,20,6ppt,6,,,
2,20,6ppt,6,,,
3,19,6ppt,6,,,
4,18,6ppt,6,,,
5,10,6ppt,6,,,
6,3,6ppt,6,,,
7,0,6ppt,6,,,
1,20,6ppt,6,,,
2,20,6ppt,6,,,
3,20,6ppt,6,,,
4,20,6ppt,6,,,
5,11,6ppt,6,,,
6,8,6ppt,6,,,
7,0,6ppt,6,,,
1,20,6ppt,6,,,
2,20,6ppt,6,,,
3,20,6ppt,6,,,
4,20,6ppt,6,,,
5,9,6ppt,6,,,
6,7,6ppt,6,,,
7,0,6ppt,6,,,
1,20,6ppt,6,,,
2,20,6ppt,6,,,
3,20,6ppt,6,,,
4,20,6ppt,6,,,
5,20,6ppt,6,,,
6,19,6ppt,6,,,
7,0,6ppt,6,,,
1,20,6ppt,6,,,
2,20,6ppt,6,,,
3,20,6ppt,6,,,
4,20,6ppt,6,,,
5,16,6ppt,6,,,
6,15,6ppt,6,,,
7,0,6ppt,6,,,
1,20,6ppt,6,,,
2,20,6ppt,6,,,
3,18,6ppt,6,,,
4,18,6ppt,6,,,
5,13,6ppt,6,,,
6,12,6ppt,6,,,
7,0,6ppt,6,,,
1,20,control,7,,,
2,20,control,7,,,
3,19,control,7,,,
4,19,control,7,,,
5,19,control,7,,,
6,19,control,7,,,
7,19,control,7,,,
1,20,control,7,,,
2,7,control,7,,,
3,7,control,7,,,
4,7,control,7,,,
5,7,control,7,,,
6,7,control,7,,,
7,6,control,7,,,
1,20,control,7,,,
2,14,control,7,,,
3,10,control,7,,,
4,7,control,7,,,
5,6,control,7,,,
6,6,control,7,,,
7,6,control,7,,,
1,20,control,7,,,
2,20,control,7,,,
3,19,control,7,,,
4,19,control,7,,,
5,19,control,7,,,
6,18,control,7,,,
7,18,control,7,,,
1,20,control,7,,,
2,11,control,7,,,
3,10,control,7,,,
4,10,control,7,,,
5,10,control,7,,,
6,10,control,7,,,
7,9,control,7,,,
1,20,control,7,,,
2,19,control,7,,,
3,19,control,7,,,
4,19,control,7,,,
5,19,control,7,,,
6,19,control,7,,,
7,19,control,7,,,
1,20,control,7,,,
2,20,control,7,,,
3,20,control,7,,,
4,20,control,7,,,
5,20,control,7,,,
6,20,control,7,,,
7,19,control,7,,,
1,20,control,7,,,
2,16,control,7,,,
3,15,control,7,,,
4,15,control,7,,,
5,15,control,7,,,
6,15,control,7,,,
7,15,control,7,,,
1,20,control,7,,,
2,19,control,7,,,
3,18,control,7,,,
4,18,control,7,,,
5,18,control,7,,,
6,18,control,7,,,
7,18,control,7,,,
1,20,control,7,,,
2,12,control,7,,,
3,11,control,7,,,
4,11,control,7,,,
5,11,control,7,,,
6,10,control,7,,,
7,9,control,7,,,
1,20,4ppt,7,,,
2,20,4ppt,7,,,
3,19,4ppt,7,,,
4,19,4ppt,7,,,
5,19,4ppt,7,,,
6,19,4ppt,7,,,
7,0,4ppt,7,,,
1,20,4ppt,7,,,
2,20,4ppt,7,,,
3,20,4ppt,7,,,
4,20,4ppt,7,,,
5,20,4ppt,7,,,
6,20,4ppt,7,,,
7,0,4ppt,7,,,
1,20,4ppt,7,,,
2,18,4ppt,7,,,
3,18,4ppt,7,,,
4,18,4ppt,7,,,
5,18,4ppt,7,,,
6,18,4ppt,7,,,
7,15,4ppt,7,,,
1,20,4ppt,7,,,
2,19,4ppt,7,,,
3,17,4ppt,7,,,
4,14,4ppt,7,,,
5,14,4ppt,7,,,
6,14,4ppt,7,,,
7,0,4ppt,7,,,
1,20,4ppt,7,,,
2,17,4ppt,7,,,
3,16,4ppt,7,,,
4,15,4ppt,7,,,
5,15,4ppt,7,,,
6,10,4ppt,7,,,
7,10,4ppt,7,,,
1,20,4ppt,7,,,
2,20,4ppt,7,,,
3,19,4ppt,7,,,
4,19,4ppt,7,,,
5,19,4ppt,7,,,
6,19,4ppt,7,,,
7,19,4ppt,7,,,
1,20,4ppt,7,,,
2,7,4ppt,7,,,
3,7,4ppt,7,,,
4,5,4ppt,7,,,
5,4,4ppt,7,,,
6,4,4ppt,7,,,
7,0,4ppt,7,,,
1,20,4ppt,7,,,
2,19,4ppt,7,,,
3,18,4ppt,7,,,
4,16,4ppt,7,,,
5,16,4ppt,7,,,
6,16,4ppt,7,,,
7,15,4ppt,7,,,
1,20,4ppt,7,,,
2,19,4ppt,7,,,
3,18,4ppt,7,,,
4,16,4ppt,7,,,
5,16,4ppt,7,,,
6,16,4ppt,7,,,
7,15,4ppt,7,,,
1,20,4ppt,7,,,
2,18,4ppt,7,,,
3,18,4ppt,7,,,
4,18,4ppt,7,,,
5,18,4ppt,7,,,
6,18,4ppt,7,,,
7,17,4ppt,7,,,
1,20,6ppt,7,,,
2,20,6ppt,7,,,
3,20,6ppt,7,,,
4,20,6ppt,7,,,
5,0,6ppt,7,,,
6,0,6ppt,7,,,
7,0,6ppt,7,,,
1,20,6ppt,7,,,
2,9,6ppt,7,,,
3,9,6ppt,7,,,
4,9,6ppt,7,,,
5,0,6ppt,7,,,
6,0,6ppt,7,,,
7,0,6ppt,7,,,
1,20,6ppt,7,,,
2,20,6ppt,7,,,
3,20,6ppt,7,,,
4,20,6ppt,7,,,
5,0,6ppt,7,,,
6,0,6ppt,7,,,
7,0,6ppt,7,,,
1,20,6ppt,7,,,
2,20,6ppt,7,,,
3,19,6ppt,7,,,
4,19,6ppt,7,,,
5,0,6ppt,7,,,
6,0,6ppt,7,,,
7,0,6ppt,7,,,
1,20,6ppt,7,,,
2,20,6ppt,7,,,
3,20,6ppt,7,,,
4,20,6ppt,7,,,
5,0,6ppt,7,,,
6,0,6ppt,7,,,
7,0,6ppt,7,,,
1,20,6ppt,7,,,
2,20,6ppt,7,,,
3,19,6ppt,7,,,
4,19,6ppt,7,,,
5,0,6ppt,7,,,
6,0,6ppt,7,,,
7,0,6ppt,7,,,
1,20,6ppt,7,,,
2,20,6ppt,7,,,
3,20,6ppt,7,,,
4,20,6ppt,7,,,
5,0,6ppt,7,,,
6,0,6ppt,7,,,
7,0,6ppt,7,,,
1,20,6ppt,7,,,
2,19,6ppt,7,,,
3,18,6ppt,7,,,
4,18,6ppt,7,,,
5,17,6ppt,7,,,
6,15,6ppt,7,,,
7,0,6ppt,7,,,
1,20,6ppt,7,,,
2,18,6ppt,7,,,
3,18,6ppt,7,,,
4,18,6ppt,7,,,
5,18,6ppt,7,,,
6,16,6ppt,7,,,
7,8,6ppt,7,,,
1,20,6ppt,7,,,
2,12,6ppt,7,,,
3,11,6ppt,7,,,
4,11,6ppt,7,,,
5,11,6ppt,7,,,
6,10,6ppt,7,,,
7,0,6ppt,7,,,
